location,filename,date_modified,date_created,writes_to_shopify,tutorial_code,in_dirs,out_dirs
C:\Users\Wylph\Downloads\Tabitha-main\identifier.py,identifier.py,2026-05-26 06:52:44,2026-05-26 07:27:22,No,!!!,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\ArUcolab1.py,ArUcolab1.py,2026-05-02 17:26:58,2026-04-21 12:56:06,No,,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\ArUcolab2.py,ArUcolab2.py,2026-05-02 17:26:58,2026-04-21 12:56:06,No,,T:\testimages\aruco_test.jpg,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\ArUcolab3.py,ArUcolab3.py,2026-05-02 17:26:58,2026-04-21 12:56:06,No,,T:\testimages\aruco_test.jpg,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\ArUcolab4.py,ArUcolab4.py,2026-05-02 17:26:58,2026-04-21 12:56:06,No,,T:\testimages\aruco_test.jpg,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\extract_practice.py,extract_practice.py,2026-05-02 17:26:58,2026-04-21 12:56:06,No,,T:/Tcode/sample_listing.json,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\HowtoloadJSONfromafile.py,HowtoloadJSONfromafile.py,2026-05-02 17:26:58,2026-04-21 12:56:06,No,,T:/Tcode/example_listing.json,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\json_practice.py,json_practice.py,2026-05-02 17:26:58,2026-04-21 12:56:06,No,,T:/Tcode/practice.json,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\Learning.py,Learning.py,2026-05-02 17:26:58,2026-04-21 12:56:06,No,,T:/Tcode/example_listing.json,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\ShopifyL1.py,ShopifyL1.py,2026-05-02 17:26:58,2026-04-21 12:56:06,No,,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\ShopifyL2.py,ShopifyL2.py,2026-05-02 17:26:58,2026-04-21 12:56:06,Yes,,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\ShopifyL3.py,ShopifyL3.py,2026-05-02 17:26:58,2026-04-21 12:56:06,Yes,,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\ShopifyL4.py,ShopifyL4.py,2026-05-02 17:26:58,2026-04-21 12:56:06,Yes,,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\ShopifyL5.py,ShopifyL5.py,2026-05-02 17:26:58,2026-04-21 12:56:06,Yes,,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\ShopifyL6.py,ShopifyL6.py,2026-05-02 17:26:58,2026-04-21 12:56:06,Yes,,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\ShopifyL7.py,ShopifyL7.py,2026-05-02 17:26:58,2026-04-21 12:56:06,Yes,,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\ShopifyL8.py,ShopifyL8.py,2026-05-02 17:26:58,2026-04-21 12:56:06,Yes,,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\ShopifyL9.py,ShopifyL9.py,2026-05-02 17:26:58,2026-04-21 12:56:06,Yes,,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\Warnings.py,Warnings.py,2026-05-02 17:26:58,2026-04-21 12:56:06,No,,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\CameraTest\aruco_markers.py,aruco_markers.py,2026-05-02 17:26:58,2026-04-21 12:56:06,No,,T:\Tcode\CameraTest\photos\ArucoTest\testphoto1_2026-03-08_16-54-24.jpg,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\CameraTest\take_photo.py,take_photo.py,2026-05-02 17:26:58,2026-04-21 12:56:06,No,,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\Tcodemain\bigted.py,bigted.py,2026-05-02 17:26:59,2026-04-21 12:56:06,No,,T:\Tcode\Tcodemain\picnicbasket\shortsongreen_rectified.jpg,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\Tcodemain\Eevee_shared.py,Eevee_shared.py,2026-05-02 17:26:59,2026-04-21 12:56:06,No,,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\Tcodemain\lilted.py,lilted.py,2026-05-02 17:26:59,2026-04-21 12:56:06,No,,T:\Tcode\Tcodemain\picnicbasket\Shortsongreen.jpg,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\Tcodemain\meowth.py,meowth.py,2026-05-23 16:52:34,2026-04-21 12:56:06,No,,,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\Tcodemain\snorlax.py,snorlax.py,2026-05-23 15:23:32,2026-04-21 12:56:06,No,,C:/Users/wylph/Downloads/Tabitha CDT/Tcode/Tcodemain/picnicbasket/shortsongreen_rectified_mask_clean.png,
C:\Users\Wylph\Downloads\Tabitha-main\Tcode\Tcodemain\swiper.py,swiper.py,2026-05-23 19:35:25,2026-05-23 15:24:22,No,,,
